gene_symbol,uniprot_id,organism,pathway_tags,gravity_link,spine_curvature_link,priority_score,justification
PCDH15,Q96QU1,Homo sapiens,"Gravity_Sensing,Mechanotransduction,Adhesion","Forms the lower part of the tip link in inner ear hair cells, directly transmitting mechanical force from gravity/acceleration.",Mutations cause Usher Syndrome Type 1F; vestibular defects are strongly linked to scoliosis pathogenesis. (PMID: 11244476),90,Direct mechanotransducer for vestibular gravity sensing.
USH1C,Q9Y6N9,Homo sapiens,"Gravity_Sensing,Scaffold,Mechanotransduction","Harmonin; scaffolds the mechanotransduction complex in hair cells, essential for gravity and sound sensing.","Mutations cause Usher Syndrome Type 1C, combining deafness with vestibular areflexia and potential postural defects. (PMID: 10978287)",88,Essential scaffold for the vestibular gravity sensor complex.
WHRN,Q9P202,Homo sapiens,"Gravity_Sensing,Scaffold,Actin",Whirlin; essential for actin polymerization and stereocilia elongation in gravity-sensing hair cells.,Mutations cause Usher syndrome type 2D; linked to balance and posture maintenance defects. (PMID: 14976159),85,Required for the structural integrity of the gravity sensing apparatus.
MYO15A,Q9UKN7,Homo sapiens,"Gravity_Sensing,Motor_Protein,Actin",Unconventional myosin required for the elongation and maintenance of stereocilia in vestibular gravity sensors.,Mutations cause profound deafness and vestibular dysfunction (DFNB3); balance issues implicate posture. (PMID: 11017086),85,Motor protein building the cellular gravity sensors.
STK3,Q13188,Homo sapiens,"Signaling,Hippo,Mechanotransduction",MST2 kinase in the Hippo pathway; negatively regulates YAP/TAZ in response to mechanical unloading/low stiffness.,Hippo pathway dysregulation alters osteogenesis and bone mass; potential driver of scoliotic bone asymmetry. (PMID: 21151125),85,Upstream kinase regulating the YAP/TAZ mechanosensor.
STK4,Q13043,Homo sapiens,"Signaling,Hippo,Mechanotransduction",MST1 kinase; functions redundantly with STK3 to inhibit YAP/TAZ when mechanical tension is low.,"Essential for balancing cell proliferation and apoptosis in growing tissues, including the spine. (PMID: 21151125)",85,Upstream kinase regulating the YAP/TAZ mechanosensor.
SAV1,Q9H4B6,Homo sapiens,"Signaling,Hippo,Scaffold",Salvador homolog 1; scaffold protein essential for MST1/2 (STK4/3) activation in the Hippo mechanosensing pathway.,Core Hippo component; deletion disrupts tissue growth control and mechanical responsiveness. (PMID: 12150926),82,Essential scaffold for Hippo mechanotransduction.
NF2,P35240,Homo sapiens,"Signaling,Mechanotransduction,Cytoskeleton",Merlin; links actin cytoskeleton to membrane proteins and acts as an upstream activator of the Hippo pathway (sensing contact/tension).,"Mutations cause Neurofibromatosis Type 2, which includes spinal tumors and associated scoliosis. (PMID: 8252613)",85,Mechanosensor linking cell junctions to Hippo signaling.
PTCH2,Q9Y6C5,Homo sapiens,"Signaling,Hedgehog,Receptor","Receptor for Hedgehog signaling at the primary cilium, complementing PTCH1 in mechanically sensitive tissues.",Modulates Hedgehog signaling critical for vertebral segmentation and bone development. (PMID: 10606622),82,Secondary receptor for the ciliary Hedgehog pathway.
SUFU,Q9UMX1,Homo sapiens,"Signaling,Hedgehog,Development","Suppressor of fused; key negative regulator of Hedgehog signaling, which is dependent on ciliary mechanosensors.",Mutations cause Gorlin syndrome and are linked to skeletal defects including bifid ribs and kyphoscoliosis. (PMID: 10471507),88,Crucial regulator of ciliary-dependent Hedgehog signaling.
MGP,P08493,Homo sapiens,"ECM,Bone,Mineralization","Matrix Gla protein; potent inhibitor of soft tissue calcification, maintaining elasticity of spinal ligaments against mechanical stress.","Mutations cause Keutel syndrome, featuring abnormal cartilage calcification and severe kyphoscoliosis. (PMID: 8871651)",88,Maintains mechanical properties (elasticity vs stiffness) of the spine.
SMAD6,O43541,Homo sapiens,"Signaling,BMP,Mechanotransduction","Inhibitory SMAD; negatively regulates BMP signaling, which is mechanically activated in bone.",Mutations are implicated in craniosynostosis and cardiovascular defects; crucial for balancing osteogenesis in the spine. (PMID: 9435649),80,Key negative regulator of mechanosensitive BMP pathway.
PKD2L1,Q9P0L9,Homo sapiens,"Cilia,Mechanotransduction,Ion_Channel","Forms mechanosensitive complex with PKD1L1 in primary cilia, sensing fluid flow and acting as a gravity/posture proxy.",Essential for establishing left-right asymmetry and cerebrospinal fluid flow sensing; Pkd2l1 mutant zebrafish show curvature defects. (PMID: 30206132),85,"Partner of PKD1L1 in ciliary mechanosensing, directly linked to spine straightness."
PTPN14,Q15678,Homo sapiens,"Signaling,Mechanotransduction,Hippo",Regulates YAP1 activity independent of the core Hippo kinase cascade; responds to cell density and mechanics.,"Mutations cause choanal atresia and lymphedema, with potential skeletal/spinal involvement via YAP1 dysregulation. (PMID: 22446702)",80,Key YAP1 regulator acting as a mechanical sensor.
FZD7,O75084,Homo sapiens,"PCP,Signaling,Wnt","Receptor for Wnt11 in the Planar Cell Polarity (PCP) pathway, transmitting mechanical cues to align tissues.",Crucial for convergent extension and neural tube closure; disruption causes severe axial defects. (PMID: 15315758),85,Primary receptor for Wnt11 in the PCP pathway.
FAT3,Q8BXT9,Homo sapiens,"PCP,Adhesion,Development",Atypical cadherin; controls planar cell polarity and tissue morphogenesis under tension.,Regulates neuronal morphogenesis and polarity; potential links to proprioceptive neural network establishment. (PMID: 23142725),75,PCP component linking to neural polarity.
MYO6,Q9UM54,Homo sapiens,"Gravity_Sensing,Cilia,Motor_Protein","Motor protein essential for maintaining the structure of hair cell stereocilia, which sense gravity and motion.",Mutations cause deafness and vestibular dysfunction (Usher syndrome proxy); vestibular defects are linked to spine alignment. (PMID: 10427063),85,Critical motor protein for the vestibular gravity sensor.
USH2A,O75445,Homo sapiens,"Gravity_Sensing,Cilia,Adhesion","Usherin; structural component of the ankle links in hair cell stereocilia, essential for mechanosensitivity.",Mutations cause Usher Syndrome Type II; combined visual/vestibular defects contribute to postural instability and scoliosis. (PMID: 9635396),88,Major structural component of the vestibular gravity sensing apparatus.
LAMA1,P25391,Homo sapiens,"ECM,Development,Adhesion",Major component of basement membranes; provides structural support and translates mechanical forces via integrins.,Mutations cause Poretti-Boltshauser syndrome with cerebellar and potential skeletal anomalies; regulates early axis formation. (PMID: 22683713),82,Basement membrane component essential for early structural support.
DCN,P07585,Homo sapiens,"ECM,Mechanotransduction","Decorin binds collagen fibrils, regulating their diameter and mechanical stiffness in load-bearing tissues.","Regulates TGF-beta activity in ECM; mutations alter matrix stiffness, potentially leading to spinal instability. (PMID: 26185250)",85,Key structural regulator of collagen fibril assembly and matrix stiffness.
LUM,P51884,Homo sapiens,"ECM,Mechanotransduction","Lumican regulates collagen fibrillogenesis and tissue hydration, contributing to compressive stiffness.",Associated with high myopia and connective tissue disorders involving altered mechanical properties. (PMID: 15306323),82,SLRP member essential for establishing functional collagen architecture.
FMOD,Q06828,Homo sapiens,"ECM,Mechanotransduction","Fibromodulin is crucial for tendon and ligament strength, primary structures for force transmission.","Knockout mice show altered tendon properties and joint instability, impacting spinal mechanics. (PMID: 10446131)",82,"Critical for ligament integrity, essential for maintaining spinal alignment."
BMP2,P12643,Homo sapiens,"Signaling,Bone,Mechanotransduction",Expression is strongly induced by mechanical loading; key osteogenic factor.,Used in spinal fusion surgeries; its dysregulation alters bone mass and vertebral shape. (PMID: 15630473),88,Major mechanosensitive osteogenic factor essential for vertebral development.
BMP7,P18075,Homo sapiens,"Signaling,Bone,Mechanotransduction",Promotes cartilage and bone formation; mechanosensitive in osteoblasts.,Deficiency leads to skeletal defects; therapeutic target for disc degeneration. (PMID: 16581452),85,Key regulator of spinal bone and disc maintenance under mechanical load.
SMO,Q99835,Homo sapiens,"Signaling,Hedgehog,Cilia",Core transducer of Hedgehog signaling at the primary cilium (gravity sensor).,Ciliary signaling is crucial for vertebral patterning and somite segmentation. (PMID: 10471507),88,Essential effector of the mechanosensitive ciliary Hedgehog pathway.
GLI1,P08151,Homo sapiens,"Signaling,Hedgehog,Cilia",Transcriptional activator in the ciliary Hedgehog pathway.,Defects in Hedgehog signaling lead to vertebral malformations and patterning errors. (PMID: 9002664),88,Key transcriptional effector of ciliary Hedgehog signaling linked to skeletal patterning.
EPAS1,Q99814,Homo sapiens,"Signaling,Metabolism,Mechanotransduction",HIF-2alpha; regulates chondrocyte hypertrophy and response to mechanical and hypoxic stress in loaded tissues.,Implicated in osteoarthritis and disc degeneration; regulates matrix catabolism. (PMID: 20495046),85,Key factor linking mechanical stress/hypoxia to disc matrix degradation.
NFATC1,O95644,Homo sapiens,"Signaling,Bone",Master regulator of osteoclastogenesis; responsive to mechanical unloading (bone loss).,Regulates bone resorption; imbalance leads to altered vertebral density and shape. (PMID: 16053805),85,Central regulator of load-dependent bone resorption.
TNFRSF11B,O00300,Homo sapiens,"Signaling,Bone","Osteoprotegerin (OPG); mechanical loading increases OPG expression, inhibiting bone resorption.",Mutations cause Juvenile Paget disease with severe bone deformities including kyphosis/scoliosis. (PMID: 12110738),88,Directly links mechanical loading to the inhibition of bone resorption; strong syndromic link.
CHSY1,Q86X52,Homo sapiens,"ECM,Glycosylation,Bone",Synthesizes chondroitin sulfate; essential for cartilage and bone matrix stiffness.,Mutations cause Temtamy preaxial brachydactyly syndrome with vertebral anomalies and kyphoscoliosis. (PMID: 21109226),85,Essential enzyme for establishing the compressive stiffness of the skeletal matrix.
